date_str,product_category,product_line,price_per_unit,competitor_price,units_sold,revenue,promotion_spend,market_share
2024-08-02,Beverages,Premium,34.02,31.83,2466,83893.32,5124.76,0.2136
2024-04-24,Frozen Foods,Premium,3.77,3.49,21553,81254.81,0,0.1097
2024-08-23,Personal Care,Standard,11.87,12.54,4771,56631.77,0,0.2917
2024-11-30,Frozen Foods,Standard,14.31,13.24,4046,57898.26,0,0.164
2023-01-06,Dairy,Economy,13.74,11.89,4342,59659.08,0,0.3267
2021-06-11,Personal Care,Standard,37.75,40.26,1576,59494.0,0,0.2614
2021-04-04,Snacks,Standard,44.37,51.0,1133,50271.21,0,0.186
2023-01-18,Snacks,Standard,17.6,19.09,4509,79358.4,0,0.0714
2024-07-24,Snacks,Economy,33.49,30.38,2384,79840.16,49476.17,0.2171
2024-11-03,Dairy,Premium,12.23,10.53,6736,82381.28,13387.04,0.3329
2022-10-07,Snacks,Economy,23.72,27.51,2165,51353.8,0,0.0919
2024-02-24,Personal Care,Standard,34.25,34.25,1567,53669.75,0,0.3492
2021-10-11,Personal Care,Standard,6.36,5.51,22409,142521.24,31372.3,0.1766
2021-05-11,Frozen Foods,Standard,27.83,28.21,3541,98546.03,27661.29,0.2541
2021-08-23,Personal Care,Standard,35.17,34.08,1449,50961.33,7907.89,0.2666
2022-06-24,Personal Care,Premium,24.08,21.36,3256,78404.48,0,0.2023
2022-02-12,Snacks,Standard,34.91,36.26,1697,59242.27,0,0.0502
2022-10-26,Frozen Foods,Premium,7.25,7.08,15234,110446.5,0,0.1218
2022-05-09,Personal Care,Premium,6.14,6.26,23144,142104.16,38030.11,0.0885
2023-09-01,Personal Care,Premium,13.76,15.9,4626,63653.76,0,0.2118
2024-11-13,Snacks,Economy,15.75,18.87,4518,71158.5,0,0.2053
2021-09-05,Snacks,Premium,5.22,4.48,20766,108398.52,0,0.0522
2024-12-20,Beverages,Premium,5.36,4.61,20651,110689.36,25707.81,0.1956
2024-01-10,Snacks,Economy,42.26,44.37,1522,64319.72,0,0.2922
2022-01-25,Beverages,Premium,30.51,29.72,2420,73834.2,0,0.0663
2024-08-31,Beverages,Premium,19.61,19.0,2996,58751.56,0,0.1071
2023-07-08,Snacks,Standard,10.3,10.42,6074,62562.2,0,0.2924
2024-02-02,Beverages,Premium,30.22,31.4,2896,87517.12,4663.14,0.1209
2023-04-13,Frozen Foods,Standard,11.58,11.47,11297,130819.26,18948.66,0.1296
2023-07-21,Dairy,Standard,32.11,35.5,2039,65472.29,0,0.196
2022-01-24,Dairy,Premium,43.67,45.97,1431,62491.77,0,0.0671
2024-04-11,Frozen Foods,Economy,41.57,43.06,2011,83597.27,25391.42,0.0706
2021-05-20,Snacks,Standard,7.6,8.83,16210,123196.0,29725.96,0.1758
2024-04-10,Personal Care,Economy,15.95,15.01,4101,65410.95,0,0.1297
2021-09-26,Dairy,Standard,15.94,17.74,7502,119581.88,22914.28,0.3488
2021-05-31,Personal Care,Premium,24.0,21.51,2872,68928.0,3439.57,0.1355
2023-06-17,Personal Care,Economy,15.36,18.35,4932,75755.52,0,0.2504
2024-02-10,Dairy,Economy,6.9,7.99,19645,135550.5,44485.64,0.0966
2022-08-01,Personal Care,Premium,33.0,30.4,1539,50787.0,0,0.1966
2021-04-15,Beverages,Economy,20.5,19.41,4506,92373.0,38555.96,0.1286
2023-06-24,Personal Care,Economy,20.68,17.65,5114,105757.52,44155.32,0.2137
2023-01-27,Personal Care,Economy,8.79,7.86,14744,129599.76,44949.07,0.3082
2023-01-03,Snacks,Economy,13.11,11.62,7329,96083.19,0,0.1719
2024-06-25,Snacks,Premium,39.25,46.77,1759,69040.75,0,0.0574
2022-11-12,Frozen Foods,Economy,39.22,44.47,1370,53731.4,39368.73,0.3117
2023-08-22,Snacks,Premium,37.2,37.61,1605,59706.0,39767.27,0.0571
2022-01-31,Frozen Foods,Standard,14.34,12.54,4827,69219.18,0,0.2028
2024-10-23,Personal Care,Standard,42.42,37.77,1044,44286.48,0,0.3388
2022-06-28,Beverages,Premium,27.85,27.04,2151,59905.35,0,0.3453
2021-08-25,Frozen Foods,Economy,10.58,9.16,7965,84269.7,0,0.292
2024-11-07,Snacks,Standard,20.83,24.62,3503,72967.49,0,0.249
2021-09-13,Dairy,Economy,15.64,15.53,4155,64984.2,0,0.0882
2023-05-12,Frozen Foods,Economy,34.3,31.24,1609,55188.7,0,0.3001
2022-09-15,Dairy,Premium,20.77,21.87,3206,66588.62,0,0.1826
2022-03-14,Personal Care,Standard,36.23,42.97,1740,63040.2,0,0.1351
2024-09-21,Personal Care,Standard,6.47,7.66,22077,142838.19,15520.97,0.0942
2021-04-05,Snacks,Standard,28.48,31.87,2675,76184.0,0,0.2227
2024-11-27,Frozen Foods,Standard,19.49,17.57,4395,85658.55,0,0.3081
2021-08-07,Frozen Foods,Premium,9.98,11.83,6200,61876.0,0,0.1248
2021-09-06,Frozen Foods,Premium,36.56,39.62,1660,60689.6,0,0.335
2023-06-26,Personal Care,Economy,40.41,40.38,1333,53866.53,0,0.0977
2023-08-31,Frozen Foods,Standard,34.45,39.41,2100,72345.0,38883.74,0.1218
2023-06-20,Beverages,Economy,14.64,13.84,5050,73932.0,27007.61,0.1194
2024-11-22,Snacks,Economy,11.59,11.53,6444,74685.96,23296.22,0.2999
2023-03-09,Personal Care,Economy,3.33,3.86,34887,116173.71,0,0.3328
2022-09-04,Frozen Foods,Standard,25.37,28.09,3127,79331.99,0,0.1965
2022-07-13,Frozen Foods,Standard,3.73,3.61,28773,107323.29,0,0.0995
2023-08-16,Snacks,Economy,25.2,29.42,2796,70459.2,0,0.0752
2023-05-28,Snacks,Standard,10.22,9.62,9288,94923.36,22734.97,0.3139
2022-07-24,Frozen Foods,Standard,37.98,38.53,1092,41474.16,0,0.3356
2022-04-05,Beverages,Economy,4.21,3.62,34974,147240.54,41961.44,0.1216
2023-08-28,Beverages,Economy,42.78,43.33,1701,72768.78,18444.76,0.3391
2021-08-23,Snacks,Standard,7.09,6.09,21107,149648.63,33867.36,0.169
2022-02-11,Beverages,Economy,31.85,34.06,2841,90485.85,38624.04,0.2301
2021-09-05,Personal Care,Premium,17.26,17.26,4711,81311.86,25298.04,0.3049
2023-10-01,Beverages,Standard,43.33,46.47,1415,61311.95,0,0.1806
2023-12-05,Dairy,Economy,36.85,38.26,1494,55053.9,0,0.2693
2022-07-04,Dairy,Premium,37.81,33.29,1272,48094.32,0,0.1894
2024-06-03,Frozen Foods,Standard,3.72,4.27,45133,167894.76,10605.99,0.1521
2024-05-05,Dairy,Economy,2.93,3.46,51866,151967.38,36003.73,0.2774
2024-11-15,Frozen Foods,Economy,32.75,32.97,2134,69888.5,14711.78,0.123
2024-09-21,Personal Care,Standard,22.61,23.42,3365,76082.65,0,0.1492
2024-12-10,Frozen Foods,Standard,15.53,14.45,4250,66002.5,0,0.2729
2024-11-14,Snacks,Premium,11.7,11.93,8881,103907.7,0,0.2074
2022-08-03,Beverages,Premium,15.09,14.73,4812,72613.08,35400.92,0.0637
2021-04-22,Personal Care,Standard,32.14,28.74,1846,59330.44,0,0.3118
2024-03-21,Dairy,Standard,22.85,22.15,2463,56279.55,0,0.3085
2021-08-22,Beverages,Standard,23.4,24.62,2218,51901.2,0,0.2933
2022-09-15,Beverages,Premium,7.53,8.42,14384,108311.52,0,0.1177
2023-12-07,Frozen Foods,Standard,41.11,39.22,1290,53031.9,0,0.2206
2021-05-04,Personal Care,Economy,6.72,7.51,12195,81950.4,0,0.0744
2022-05-07,Snacks,Economy,5.69,4.84,18621,105953.49,0,0.1374
2022-04-20,Dairy,Economy,14.52,16.71,5598,81282.96,11671.19,0.2874
2024-04-22,Snacks,Standard,7.38,6.85,12341,91076.58,13281.62,0.0679
2022-09-22,Personal Care,Economy,37.53,44.0,1489,55882.17,0,0.1412
2023-04-05,Dairy,Economy,25.45,25.53,3102,78945.9,0,0.2704
2024-05-21,Dairy,Premium,6.38,7.57,15877,101295.26,0,0.3352
2024-10-08,Dairy,Economy,4.21,4.69,28451,119778.71,0,0.3248
2022-01-07,Personal Care,Standard,29.48,30.13,2336,68865.28,17398.05,0.251
2021-11-26,Dairy,Standard,31.98,30.41,2220,70995.6,0,0.215
2023-07-21,Beverages,Standard,13.23,11.78,7175,94925.25,0,0.2975
2021-01-03,Personal Care,Standard,20.06,18.37,4605,92376.3,37822.16,0.278
2022-02-21,Dairy,Economy,8.07,7.67,11090,89496.3,0,0.0587
2024-07-14,Personal Care,Premium,32.67,31.32,1896,61942.32,20399.53,0.3024
2021-08-21,Frozen Foods,Premium,30.03,27.14,1774,53273.22,0,0.2616
2023-05-01,Frozen Foods,Standard,12.86,13.41,7672,98661.92,46093.41,0.3138
2021-05-23,Dairy,Standard,16.94,19.07,6059,102639.46,128.26,0.3012
2024-04-02,Frozen Foods,Premium,21.48,21.9,3630,77972.4,38143.63,0.3299
2022-01-22,Snacks,Economy,18.78,21.59,3325,62443.5,0,0.1919
2023-02-20,Frozen Foods,Economy,36.18,39.01,1543,55825.74,48241.22,0.3396
2022-11-11,Beverages,Standard,6.74,7.88,21617,145698.58,7207.77,0.341
2021-06-03,Frozen Foods,Standard,16.89,18.45,5189,87642.21,0,0.3057
2023-12-29,Frozen Foods,Standard,29.14,33.82,2160,62942.4,0,0.2352
2022-04-26,Dairy,Premium,34.24,34.3,2615,89537.6,31687.39,0.1831
2024-11-22,Dairy,Premium,4.45,5.02,23883,106279.35,18742.05,0.2093
2024-03-05,Snacks,Premium,9.94,10.57,10655,105910.7,34156.73,0.2249
2022-04-21,Frozen Foods,Economy,13.29,12.48,9075,120606.75,40231.65,0.2533
2021-11-20,Beverages,Standard,42.67,51.02,1788,76293.96,48101.45,0.1871
2022-09-11,Snacks,Standard,38.77,34.4,1595,61838.15,17947.96,0.2598
2021-02-14,Frozen Foods,Standard,2.84,3.27,55872,158676.48,0,0.3232
2023-10-15,Dairy,Premium,28.3,27.54,2349,66476.7,0,0.2533
2024-09-12,Snacks,Economy,6.63,7.09,13006,86229.78,39430.52,0.1595
2021-09-27,Beverages,Standard,16.39,16.32,6827,111894.53,39325.64,0.1598
2023-10-25,Dairy,Premium,13.42,15.28,6841,91806.22,0,0.274
2022-11-25,Beverages,Standard,43.42,39.05,1527,66302.34,0,0.2673
2023-03-25,Personal Care,Standard,6.34,6.26,17636,111812.24,6179.44,0.2747
2022-06-21,Personal Care,Standard,37.45,44.16,1360,50932.0,11691.1,0.3153
2024-02-24,Dairy,Economy,11.91,10.39,8406,100115.46,0,0.1407
2023-04-17,Beverages,Premium,4.43,3.82,18787,83226.41,0,0.1204
2024-01-06,Snacks,Standard,21.78,23.62,3902,84985.56,0,0.1757
2021-11-13,Frozen Foods,Economy,6.71,6.85,18082,121330.22,0,0.0598
2023-01-29,Snacks,Standard,21.4,19.96,3624,77553.6,49046.39,0.3205
2024-08-13,Dairy,Premium,19.42,17.8,4346,84399.32,42401.66,0.2488
2024-08-07,Personal Care,Premium,4.65,4.5,26865,124922.25,0,0.1116
2024-02-10,Snacks,Economy,11.68,13.48,10731,125338.08,7377.71,0.0509
2021-10-24,Snacks,Economy,13.15,11.98,4244,55808.6,0,0.0545
2022-05-03,Personal Care,Standard,3.17,2.99,36215,114801.55,21048.03,0.0691
2023-07-08,Dairy,Economy,27.73,27.96,3195,88597.35,30755.34,0.3226
2024-09-11,Personal Care,Standard,21.97,26.09,3580,78652.6,23949.1,0.2558
2023-10-02,Frozen Foods,Premium,40.72,39.2,1833,74639.76,6309.58,0.2256
2024-12-29,Dairy,Standard,44.77,46.37,1283,57439.91,0,0.0798
2024-12-08,Beverages,Economy,30.16,33.75,1671,50397.36,0,0.1855
2022-04-13,Frozen Foods,Standard,37.67,37.28,1340,50477.8,0,0.1438
2022-06-07,Dairy,Premium,31.69,32.2,2267,71841.23,4268.22,0.2734
2023-02-03,Snacks,Economy,5.05,5.98,22687,114569.35,0,0.1732
2024-09-24,Frozen Foods,Economy,4.69,4.46,28457,133463.33,5180.03,0.0964
2023-09-15,Snacks,Premium,17.38,18.16,4313,74959.94,13928.41,0.1787
2024-02-23,Personal Care,Economy,31.19,32.59,2113,65904.47,0,0.258
2021-03-01,Snacks,Standard,32.36,31.01,2810,90931.6,305.29,0.2199
2023-04-01,Beverages,Premium,33.99,40.45,1997,67878.03,26524.13,0.1861
2021-11-19,Dairy,Standard,33.17,37.21,1338,44381.46,0,0.0658
2021-11-19,Personal Care,Premium,31.14,29.43,1917,59695.38,0,0.1826
2022-07-14,Snacks,Economy,7.34,7.34,15699,115230.66,33924.31,0.2501
2021-04-04,Snacks,Standard,44.34,38.54,1772,78570.48,47266.2,0.2792
